ga,with_interaction,without_interaction
22.4,0.836070569273275,0.8445052663621477
22.5,0.8396291354839631,0.8479600902935266
22.6,0.8431195578653355,0.8513532149069
22.700000000000003,0.8465312822942556,0.8546754805143217
22.8,0.8498544869561198,0.8579183831251987
22.9,0.853080064808847,0.8610740609608936
23.0,0.8561995992927045,0.8641352755238308
23.1,0.8592053336250631,0.8670953875019984
23.200000000000003,0.8620901340745176,0.869948327833559
23.3,0.8648474476517279,0.8726885642910237
23.4,0.8674712546841645,0.8753110639698247
23.5,0.8699560167586333,0.8778112520819166
23.6,0.8722966205190605,0.8801849674611592
23.700000000000003,0.8744883177981466,0.8824284151838173
23.8,0.8765266625405885,0.8845381166950329
23.9,0.878407444944062,0.8865108578109355
24.0,0.8801266232028312,0.8883436349370506
24.1,0.8816802531896516,0.8900335998077419
24.200000000000003,0.8830644163560415,0.8915780030096865
24.3,0.8842751460710322,0.8929741365062116
24.4,0.885308352556188,0.8942192753299432
24.5,0.8861597465121582,0.8953106185602216
24.6,0.8868283675492531,0.8962478906559795
24.700000000000003,0.8873271613724748,0.8970410952708241
24.8,0.8876718991538687,0.8977022458720602
24.9,0.8878776567255605,0.898242744991218
25.0,0.887958937909418,0.8986734667210808
