ga,group,median_bmi,p_marg,ci_low,ci_high
18.4,G1,29.846813955000002,0.8533412365532853,0.8282216879197252,0.8899898300042459
18.5,G1,29.846813955000002,0.853792949733967,0.8287503361280667,0.8904339025851432
18.6,G1,29.846813955000002,0.8542436519404196,0.8292789843364082,0.8908779751660405
18.7,G1,29.846813955000002,0.8546932686799524,0.8298049857628652,0.8913201311265183
18.8,G1,29.846813955000002,0.8551428069599905,0.8303295339901692,0.8917609294232429
18.9,G1,29.846813955000002,0.8555903256509716,0.8308540058198448,0.8922003080364413
19.0,G1,29.846813955000002,0.8560378443419527,0.8313768825847659,0.8926394728111534
19.1,G1,29.846813955000002,0.8564841189234468,0.8318986332140531,0.893076603157351
19.2,G1,29.846813955000002,0.8569295380616925,0.8324203838433402,0.8935133402464489
19.3,G1,29.846813955000002,0.8573746468424459,0.8329416002266853,0.8939480300115941
19.4,G1,29.846813955000002,0.8578179650266814,0.8334035771841537,0.8943819590688457
19.5,G1,29.846813955000002,0.8582612832109169,0.8338010013304926,0.894814403848946
19.6,G1,29.846813955000002,0.8587031237531593,0.8341984254768317,0.8952468486290462
19.7,G1,29.846813955000002,0.8591443396847025,0.8345949386314082,0.8956770908533979
19.8,G1,29.846813955000002,0.8595850128255556,0.8349904327160531,0.8961057919009096
19.9,G1,29.846813955000002,0.8600241253079922,0.835385926800698,0.8965335573673999
20.0,G1,29.846813955000002,0.8604632377904291,0.8357804587797646,0.8969613228338904
20.1,G1,29.846813955000002,0.8609006388352722,0.8361744756680438,0.8973875159543
20.2,G1,29.846813955000002,0.8613376467741239,0.8365684925563232,0.8978109977298752
20.3,G1,29.846813955000002,0.8617738790887404,0.8369616364340264,0.8982340909114003
20.4,G1,29.846813955000002,0.8622087814911257,0.8373537151002428,0.8986571840929255
20.5,G1,29.846813955000002,0.8626436838935111,0.8377457937664591,0.8990791772959444
20.6,G1,29.846813955000002,0.8630766409325209,0.8381371269726514,0.8994976059901147
20.7,G1,29.846813955000002,0.8635094369068094,0.8385277236168537,0.8999160346842852
20.8,G1,29.846813955000002,0.863941224156609,0.8389183202610561,0.9003344633784555
20.9,G1,29.846813955000002,0.8643719129120672,0.839308082438582,0.9007518763332729
21.0,G1,29.846813955000002,0.8648025302888229,0.8396967331911253,0.9011658172067643
21.1,G1,29.846813955000002,0.8652311111352547,0.8400853839436685,0.9015808912669174
21.2,G1,29.846813955000002,0.8656596919816866,0.8404735074144463,0.9019959653270707
21.3,G1,29.846813955000002,0.8660870308690324,0.8408606716051659,0.902409669277815
21.4,G1,29.846813955000002,0.8665135032164125,0.8412478357958852,0.9028203725758093
21.5,G1,29.846813955000002,0.8669396714726693,0.8416342045946075,0.9032307967515997
21.6,G1,29.846813955000002,0.8673640348307682,0.8420194157144607,0.9036412209273902
21.7,G1,29.846813955000002,0.8677883981888673,0.842404626834314,0.9040496807172177
21.8,G1,29.846813955000002,0.8682112863499667,0.8427895302561225,0.9044563075968165
21.9,G1,29.846813955000002,0.8686335403279716,0.8431732505598434,0.9048620920535194
