replicate,chrom,q,coverage,tau,f1,auc
25,13,-0.027362641,0.893687707641196,5.5,0.0,0.5778754578754579
25,18,-0.027362641,0.893687707641196,5.5,0.0,0.5637770432692308
25,21,-0.027362641,0.893687707641196,3.0,0.0,0.6543039503191306
26,13,-0.02712642,0.8971807628524047,5.5,0.0,0.5922202797202798
26,18,-0.02712642,0.8971807628524047,5.0,0.0,0.594426949136368
26,21,-0.02712642,0.8971807628524047,3.0,0.0,0.4920032529140689
27,13,-0.027362641,0.9029126213592233,5.5,0.0,0.3934929404542664
27,18,-0.027362641,0.9029126213592233,5.5,0.0,0.5945743145743145
27,21,-0.027362641,0.9029126213592233,3.0,0.0,0.5622727272727273
28,13,-0.024723178,0.8988580750407831,5.5,0.0,0.3997289972899729
28,18,-0.024723178,0.8988580750407831,5.5,0.0,0.6332703213610587
28,21,-0.024723178,0.8988580750407831,3.0,0.0,0.5198653198653199
29,13,-0.026485524,0.9006622516556292,5.5,0.0,0.3832388153749212
29,18,-0.026485524,0.9006622516556292,5.5,0.0,0.5121951219512195
29,21,-0.026485524,0.9006622516556292,3.0,0.0,0.3979949874686716
30,13,-0.026532553,0.8970099667774086,5.5,0.0,0.46207061068702293
30,18,-0.026532553,0.8970099667774086,5.5,0.0,0.5946511185753216
30,21,-0.026532553,0.8970099667774086,3.0,0.0,0.4138300723666577
31,13,-0.025444835199999998,0.898360655737705,5.5,0.0,0.59784327821711
31,18,-0.025444835199999998,0.898360655737705,5.0,0.0,0.5768129770992366
31,21,-0.025444835199999998,0.898360655737705,3.0,0.0,0.5493482309124766
32,13,-0.026812031099999998,0.895,5.5,0.0,0.5030827950675278
32,18,-0.026812031099999998,0.895,5.5,0.0,0.5235657546337158
32,21,-0.026812031099999998,0.895,3.0,0.0,0.3866228828206015
33,13,-0.026855725,0.8990384615384616,5.5,0.0,0.38901098901098907
33,18,-0.026855725,0.8990384615384616,5.5,0.0,0.5411275415896488
33,21,-0.026855725,0.8990384615384616,3.0,0.0,0.5859504132231406
34,13,-0.0276752101,0.9,5.0,0.0,0.2389563106796117
34,18,-0.0276752101,0.9,5.0,0.0,0.560404339250493
34,21,-0.0276752101,0.9,3.0,0.0,0.4335564053537285
35,13,-0.0271755866,0.9003267973856209,5.5,0.0,0.43255432554325546
35,18,-0.0271755866,0.9003267973856209,5.5,0.0,0.5977289377289376
35,21,-0.0271755866,0.9003267973856209,3.0,0.0,0.5276747062461348
36,13,-0.0281513424,0.9021207177814029,5.5,0.0,0.36482504604051563
36,18,-0.0281513424,0.9021207177814029,5.5,0.0,0.48843314191960624
36,21,-0.0281513424,0.9021207177814029,3.0,0.0,0.5251177394034536
37,13,-0.027120967,0.8976,3.5,0.0,0.48639246981788414
37,18,-0.027120967,0.8976,5.5,0.0,0.5164925373134328
37,21,-0.027120967,0.8976,3.0,0.0,0.5505464480874317
38,13,-0.0276490732,0.8957654723127035,3.5,0.13333333333333333,0.4934333958724203
38,18,-0.0276490732,0.8957654723127035,5.5,0.0,0.607824427480916
38,21,-0.0276490732,0.8957654723127035,3.0,0.0,0.4599719101123596
39,13,-0.0273143062,0.898989898989899,3.5,0.09090909090909091,0.688025985530784
39,18,-0.0273143062,0.898989898989899,5.5,0.0,0.5865445176066418
39,21,-0.0273143062,0.898989898989899,3.0,0.0,0.5327946768060837
40,13,-0.027650648,0.892416225749559,5.5,0.0,0.3930023228803716
40,18,-0.027650648,0.892416225749559,5.0,0.0,0.5699558173784978
40,21,-0.027650648,0.892416225749559,3.0,0.0,0.6012219959266802
41,13,-0.0276349,0.9024390243902439,3.5,0.0,0.4685214909934011
41,18,-0.0276349,0.9024390243902439,5.5,0.0,0.5154320987654321
41,21,-0.0276349,0.9024390243902439,3.0,0.0,0.48127798127798127
42,13,-0.028818066,0.9004893964110929,5.5,0.0,0.241635687732342
42,18,-0.028818066,0.9004893964110929,5.5,0.0,0.5012626262626263
42,21,-0.028818066,0.9004893964110929,3.0,0.0,0.49924382456729965
43,13,-0.027175497,0.9022801302931596,3.5,0.0975609756097561,0.40828544061302685
43,18,-0.027175497,0.9022801302931596,5.5,0.0,0.583198285325945
43,21,-0.027175497,0.9022801302931596,3.0,0.0,0.4036429872495446
44,13,-0.0265674904,0.9016129032258065,5.5,0.0,0.3609068627450981
44,18,-0.0265674904,0.9016129032258065,5.0,0.0,0.5964836118949425
44,21,-0.0265674904,0.9016129032258065,3.0,0.0,0.4996682149966821
45,13,-0.028646023,0.8993288590604027,5.5,0.0,0.32558139534883723
45,18,-0.028646023,0.8993288590604027,5.5,0.0,0.5393803896518684
45,21,-0.028646023,0.8993288590604027,3.0,0.0,0.46197970289748497
46,13,-0.028014503,0.897822445561139,5.5,0.0,0.31593090211132435
46,18,-0.028014503,0.897822445561139,5.0,0.0,0.4624172305901186
46,21,-0.028014503,0.897822445561139,3.0,0.0,0.31352957061841746
47,13,-0.0276396244,0.9005059021922428,5.5,0.0,0.5333333333333333
47,18,-0.0276396244,0.9005059021922428,5.5,0.0,0.532573673870334
47,21,-0.0276396244,0.9005059021922428,3.0,0.0,0.4212912087912088
48,13,-0.028220193,0.8905472636815921,3.5,0.0,0.4862008220786847
48,18,-0.028220193,0.8905472636815921,4.5,0.0,0.5713147410358566
48,21,-0.028220193,0.8905472636815921,3.0,0.0,0.5876854297906929
49,13,-0.027896510200000002,0.8943089430894309,5.5,0.0,0.3142329020332717
49,18,-0.027896510200000002,0.8943089430894309,5.5,0.0,0.5277258566978194
49,21,-0.027896510200000002,0.8943089430894309,3.0,0.0,0.26037037037037036
50,13,-0.026849289000000002,0.9020618556701031,5.5,0.0,0.27325787053413514
50,18,-0.026849289000000002,0.9020618556701031,5.0,0.0,0.5500990099009901
50,21,-0.026849289000000002,0.9020618556701031,3.0,0.0,0.436809616634178
51,13,-0.0277987442,0.8982511923688394,3.5,0.0,0.4374686087393269
51,18,-0.0277987442,0.8982511923688394,5.5,0.0,0.572671257702066
51,21,-0.0277987442,0.8982511923688394,3.0,0.0,0.4903233151183971
52,13,-0.025865594999999998,0.8998302207130731,5.5,0.0,0.4852869649805448
52,18,-0.025865594999999998,0.8998302207130731,5.0,0.0,0.6068596147904006
52,21,-0.025865594999999998,0.8998302207130731,3.0,0.0,0.5464929214929215
53,13,-0.026405529,0.9021558872305141,5.5,0.0,0.41647940074906364
53,18,-0.026405529,0.9021558872305141,5.5,0.0,0.5547024952015356
53,21,-0.026405529,0.9021558872305141,3.0,0.0,0.5930754744314066
54,13,-0.027175497,0.8984771573604061,5.5,0.0,0.312015503875969
54,18,-0.027175497,0.8984771573604061,5.5,0.0,0.5424657534246575
54,21,-0.027175497,0.8984771573604061,3.0,0.0,0.4320809248554913
55,13,-0.028014503,0.8956228956228957,5.0,0.0,0.4339602248162559
55,18,-0.028014503,0.8956228956228957,5.5,0.0,0.5702787972442213
55,21,-0.028014503,0.8956228956228957,3.0,0.0,0.6895238095238094
56,13,-0.025952522,0.8986928104575164,5.5,0.0,0.40638876951726116
56,18,-0.025952522,0.8986928104575164,5.5,0.0,0.4680344930121915
56,21,-0.025952522,0.8986928104575164,3.0,0.0,0.4133918030021926
57,13,-0.0280235969,0.8985507246376812,5.5,0.0,0.3520446096654275
57,18,-0.0280235969,0.8985507246376812,5.0,0.0,0.4982479784366576
