sex,chrom,fpr,tpr,threshold
female,18,0.9173076923076923,0.9583333333333334,-0.880949856
female,18,0.9173076923076923,1.0,-0.904459909
female,18,1.0,1.0,-2.312643722
female,21,0.001876172607879925,0.0,2.662144445
female,21,0.09943714821763602,0.0,1.348968135
female,21,0.09943714821763602,0.09090909090909091,1.329150733
female,21,0.11444652908067542,0.09090909090909091,1.233059033
female,21,0.11444652908067542,0.18181818181818182,1.222613496
female,21,0.2851782363977486,0.18181818181818182,0.539041145
female,21,0.2851782363977486,0.2727272727272727,0.52740145
female,21,0.31144465290806755,0.2727272727272727,0.446262015
female,21,0.31144465290806755,0.36363636363636365,0.445101149
female,21,0.3320825515947467,0.36363636363636365,0.357892043
female,21,0.3320825515947467,0.45454545454545453,0.355899648
female,21,0.39399624765478425,0.45454545454545453,0.203708164
female,21,0.39399624765478425,0.5454545454545454,0.201689704
female,21,0.574108818011257,0.5454545454545454,-0.335477014
female,21,0.574108818011257,0.6363636363636364,-0.336054399
female,21,0.7335834896810507,0.6363636363636364,-0.773451657
female,21,0.7335834896810507,0.7272727272727273,-0.781106058
female,21,0.801125703564728,0.7272727272727273,-1.007811385
female,21,0.801125703564728,0.8181818181818182,-1.015212121
female,21,0.9512195121951219,0.8181818181818182,-1.969138852
female,21,0.9512195121951219,0.9090909090909091,-1.96968917
female,21,0.9831144465290806,0.9090909090909091,-2.377504062
female,21,0.9831144465290806,1.0,-2.394334961
female,21,1.0,1.0,-4.255845052
male,13,0.0,0.021739130434782608,5.676687906
male,13,0.0,0.5217391304347826,2.859970717
male,13,0.0009652509652509653,0.5217391304347826,2.859936634
male,13,0.0009652509652509653,0.6086956521739131,2.762464444
male,13,0.0019305019305019305,0.6086956521739131,2.74869117
male,13,0.0019305019305019305,0.6304347826086957,2.70111709
male,13,0.305019305019305,0.6304347826086957,0.815918701
male,13,0.305019305019305,0.6521739130434783,0.814295614
male,13,0.416988416988417,0.6521739130434783,0.483731453
male,13,0.416988416988417,0.6739130434782609,0.479094517
male,13,0.43532818532818535,0.6739130434782609,0.442792181
male,13,0.43532818532818535,0.6956521739130435,0.441335798
male,13,0.5260617760617761,0.6956521739130435,0.136024253
male,13,0.5260617760617761,0.717391304347826,0.128351965
male,13,0.5936293436293436,0.717391304347826,-0.045494228
male,13,0.5936293436293436,0.7608695652173914,-0.050226601
male,13,0.7200772200772201,0.7608695652173914,-0.398570611
male,13,0.7200772200772201,0.782608695652174,-0.402960953
male,13,0.7866795366795367,0.782608695652174,-0.61515501
male,13,0.7866795366795367,0.8043478260869565,-0.618805091
male,13,0.8108108108108109,0.8043478260869565,-0.736329425
male,13,0.8108108108108109,0.8260869565217391,-0.744160154
male,13,0.8223938223938224,0.8260869565217391,-0.806275013
male,13,0.8223938223938224,0.8478260869565217,-0.806874856
male,13,0.8262548262548263,0.8478260869565217,-0.830126639
male,13,0.8262548262548263,0.8695652173913043,-0.835230624
male,13,0.8378378378378378,0.8695652173913043,-0.882059097
male,13,0.8378378378378378,0.8913043478260869,-0.882446126
male,13,0.8571428571428571,0.8913043478260869,-0.950520384
male,13,0.8571428571428571,0.9130434782608695,-0.953562424
male,13,0.8706563706563707,0.9130434782608695,-1.044362473
male,13,0.8706563706563707,0.9347826086956522,-1.051392279
male,13,0.8967181467181468,0.9347826086956522,-1.16881594
male,13,0.8967181467181468,0.9565217391304348,-1.169444242
male,13,0.9295366795366795,0.9565217391304348,-1.401645543
male,13,0.9295366795366795,0.9782608695652174,-1.403036509
male,13,0.9594594594594594,0.9782608695652174,-1.617652999
male,13,0.9594594594594594,1.0,-1.63496456
male,13,1.0,1.0,-3.527318775
male,18,0.0,0.012048192771084338,6.076343685
male,18,0.0,0.1927710843373494,3.746062916
male,18,0.001001001001001001,0.1927710843373494,3.715720726
male,18,0.001001001001001001,0.4939759036144578,3.109937632
male,18,0.002002002002002002,0.4939759036144578,3.083739539
male,18,0.002002002002002002,0.6265060240963856,2.771178057
male,18,0.14814814814814814,0.6265060240963856,1.645248874
male,18,0.14814814814814814,0.6385542168674698,1.645175378
male,18,0.16416416416416416,0.6385542168674698,1.59184109
male,18,0.16416416416416416,0.6506024096385542,1.589867838
male,18,0.2002002002002002,0.6506024096385542,1.45346286
male,18,0.2002002002002002,0.6626506024096386,1.447998893
male,18,0.3893893893893894,0.6626506024096386,0.790971464
male,18,0.3893893893893894,0.6746987951807228,0.789606797
male,18,0.4034034034034034,0.6746987951807228,0.733867935
male,18,0.4034034034034034,0.6867469879518072,0.732306088
male,18,0.41541541541541543,0.6867469879518072,0.703933224
male,18,0.41541541541541543,0.6987951807228916,0.702695839
male,18,0.46146146146146144,0.6987951807228916,0.581203788
male,18,0.46146146146146144,0.7108433734939759,0.581194817
male,18,0.4854854854854855,0.7108433734939759,0.507131026
male,18,0.4854854854854855,0.7228915662650602,0.505667227
male,18,0.4894894894894895,0.7228915662650602,0.483941436
male,18,0.4894894894894895,0.7349397590361446,0.474874629
male,18,0.5495495495495496,0.7349397590361446,0.326048407
male,18,0.5495495495495496,0.7469879518072289,0.322623762
male,18,0.5855855855855856,0.7469879518072289,0.234456603
male,18,0.5855855855855856,0.7590361445783133,0.234239932
male,18,0.5865865865865866,0.7590361445783133,0.233975718
male,18,0.5865865865865866,0.7710843373493976,0.230341911
male,18,0.6286286286286287,0.7710843373493976,0.134384603
male,18,0.6286286286286287,0.7831325301204819,0.133218261
male,18,0.6466466466466466,0.7831325301204819,0.064119902
male,18,0.6466466466466466,0.7951807228915663,0.062026386
male,18,0.6546546546546547,0.7951807228915663,0.017227413
male,18,0.6546546546546547,0.8072289156626506,0.015323009
male,18,0.6786786786786787,0.8072289156626506,-0.045195277
male,18,0.6786786786786787,0.8192771084337349,-0.050248977
male,18,0.6906906906906907,0.8192771084337349,-0.078246487
