replicate,K,mean_loss,boundaries,times,valid_time_separation
21,5,0.8266013576380915,31.0|32.5|33.5|35.0,10.0|13.6|16.2|19.3|25.0,True
22,1,8.861123030931257,,19.8,True
22,2,3.3196880110963596,32.5,11.3|25.0,True
22,3,1.672204909698029,31.5|34.0,10.1|16.2|25.0,True
22,4,1.111861015720729,31.5|33.5|35.0,10.1|16.0|19.7|25.0,True
22,5,0.7731225125818575,31.0|32.0|33.5|35.0,10.0|12.4|16.0|19.7|25.0,True
23,1,8.513706030493742,,18.3,True
23,2,3.3890593113763217,32.5,11.5|24.8,True
23,3,1.459455872052104,31.5|34.0,10.0|16.0|25.0,True
23,4,0.9990056036690487,31.0|32.5|35.0,10.0|13.0|18.5|25.0,True
23,5,0.6679807733444171,31.0|32.5|33.5|35.5,10.0|13.0|16.0|20.5|25.0,True
24,1,8.025909428243327,,18.3,True
24,2,3.518726018968268,32.5,12.1|23.1,True
24,3,1.6948291993688178,31.5|34.0,10.0|16.2|25.0,True
24,4,1.1380498641009429,31.5|33.0|35.0,10.0|15.0|18.8|25.0,True
24,5,0.8495071951135703,31.0|32.5|33.5|35.0,10.0|13.6|16.2|19.7|25.0,True
25,1,8.583658541049857,,18.8,True
25,2,3.314809694247027,32.0,10.6|23.2,True
25,3,1.6039390055480387,31.5|34.0,10.1|16.1|25.0,True
25,4,1.1036510253541425,31.5|33.0|35.0,10.1|15.0|19.2|25.0,True
25,5,0.8097100620461671,31.0|32.0|33.5|35.5,10.0|12.4|16.0|20.1|25.0,True
26,1,8.209315770950651,,18.8,True
26,2,3.8333890736869494,33.5,14.6|25.0,True
26,3,1.612034880978891,31.5|34.5,10.0|17.4|25.0,True
26,4,1.041734837944458,31.5|33.0|35.0,10.0|15.0|19.1|25.0,True
26,5,0.8266004031760459,31.0|32.5|33.5|35.0,10.0|13.8|16.2|19.3|25.0,True
27,1,8.007944450600323,,18.8,True
27,2,3.722976446209932,32.0,10.7|22.1,True
27,3,1.766123998343871,31.5|34.5,10.3|17.9|25.0,True
27,4,1.1424823480691746,31.5|33.0|35.0,10.3|14.8|19.1|25.0,True
27,5,0.8805185887394531,31.0|32.5|33.5|35.0,10.0|13.1|16.1|19.1|25.0,True
28,1,8.661759864173353,,18.8,True
28,2,3.3376338286774363,32.0,10.3|23.6,True
28,3,1.357846179635631,31.5|34.0,10.0|16.3|25.0,True
28,4,1.03511828574771,31.0|33.0|35.0,10.0|14.9|18.8|25.0,True
28,5,0.7941114769439314,31.0|32.5|33.5|35.5,10.0|13.1|16.2|19.7|25.0,True
29,1,8.08964767633305,,18.5,True
29,2,3.5912607295306556,32.0,10.6|22.0,True
29,3,1.7237691983514554,31.5|34.5,10.1|17.4|25.0,True
29,4,1.1406502885944794,31.5|33.0|35.0,10.1|14.8|18.8|25.0,True
29,5,0.8871001487967259,31.0|32.0|33.5|35.0,10.0|12.5|15.7|19.1|25.0,True
30,1,8.118857272330233,,18.3,True
30,2,3.2625160173954515,32.0,10.5|23.2,True
30,3,1.593548829989341,31.5|34.5,10.0|18.1|25.0,True
30,4,1.0434787341998784,31.0|33.0|35.0,10.0|14.7|19.1|25.0,True
30,5,0.7543090547535998,31.0|32.5|33.5|35.0,10.0|13.2|16.0|19.7|25.0,True
31,1,7.849481447440815,,17.9,True
31,2,3.214589171163914,32.0,10.2|21.9,True
31,3,1.5295832240829863,31.5|34.5,10.0|17.3|25.0,True
31,4,1.0130299273179046,31.5|33.5|35.0,10.0|15.6|18.8|25.0,True
31,5,0.7978260393885785,31.0|32.5|33.5|35.0,10.0|13.9|16.0|18.8|25.0,True
32,1,8.007744558291217,,18.5,True
32,2,3.7515298090353184,32.0,10.9|22.0,True
32,3,1.7750614585059568,31.5|34.5,10.0|17.3|25.0,True
32,4,1.1667840964998342,31.0|33.0|35.0,10.0|14.6|19.2|25.0,True
