level,chrom,rule,TP,FN,FP,TN,sens,spec,ppv,npv,f1,coverage,auc,tau,tau_min,tau_max,cv_cost,q,replicate
record,21,na,0,5,0,526,0.0,1.0,0.0,0.9905838041431262,0.0,0.8984771573604061,0.3167300380228137,3.0,3.0,3.0,60.0,-0.026191592,3
pregnant,21,conservative,0,5,0,142,0.0,1.0,0.0,0.9659863945578231,0.0,1.0,0.171830985915493,3.0,3.0,3.0,60.0,-0.026191592,3
pregnant,21,majority,0,5,0,142,0.0,1.0,0.0,0.9659863945578231,0.0,1.0,0.171830985915493,3.0,3.0,3.0,60.0,-0.026191592,3
pregnant,21,max_risk,0,5,0,142,0.0,1.0,0.0,0.9659863945578231,0.0,1.0,0.171830985915493,3.0,3.0,3.0,60.0,-0.026191592,3
record,13,na,1,17,4,527,0.05555555555555555,0.992467043314501,0.2,0.96875,0.08695652173913043,0.8941368078175895,0.5975099393178489,3.5,3.5,5.0,215.0,-0.026823545,4
pregnant,13,conservative,1,21,4,121,0.045454545454545456,0.968,0.2,0.852112676056338,0.07407407407407407,1.0,0.47418181818181826,3.5,3.5,5.0,215.0,-0.026823545,4
pregnant,13,majority,0,22,0,125,0.0,1.0,0.0,0.8503401360544217,0.0,1.0,0.47418181818181826,3.5,3.5,5.0,215.0,-0.026823545,4
pregnant,13,max_risk,1,21,4,121,0.045454545454545456,0.968,0.2,0.852112676056338,0.07407407407407407,1.0,0.47418181818181826,3.5,3.5,5.0,215.0,-0.026823545,4
record,18,na,0,23,1,525,0.0,0.9980988593155894,0.0,0.958029197080292,0.0,0.8941368078175895,0.574557778145148,5.5,5.0,5.5,279.0,-0.026823545,4
pregnant,18,conservative,0,28,1,118,0.0,0.9915966386554622,0.0,0.8082191780821918,0.0,1.0,0.4876950780312125,5.5,5.0,5.5,279.0,-0.026823545,4
pregnant,18,majority,0,28,0,119,0.0,1.0,0.0,0.8095238095238095,0.0,1.0,0.4876950780312125,5.5,5.0,5.5,279.0,-0.026823545,4
