ga,group,loss,t_star
21.3,G1,11.275147471001652,10.0
21.4,G1,11.375147471001661,10.0
21.5,G1,11.475147471001657,10.0
21.6,G1,11.575147471001651,10.0
21.7,G1,11.675147471001658,10.0
21.8,G1,11.775147471001652,10.0
21.9,G1,11.875147471001661,10.0
22.0,G1,11.975147471001657,10.0
22.1,G1,12.075147471001651,10.0
22.2,G1,12.175147471001658,10.0
22.3,G1,12.275147471001652,10.0
22.4,G1,12.375147471001661,10.0
22.5,G1,12.475147471001657,10.0
22.6,G1,12.575147471001651,10.0
22.7,G1,12.675147471001658,10.0
22.8,G1,12.775147471001652,10.0
22.9,G1,12.875147471001661,10.0
23.0,G1,12.975147471001657,10.0
23.1,G1,13.075147471001651,10.0
23.2,G1,13.175147471001658,10.0
23.3,G1,13.275147471001656,10.0
23.4,G1,13.375147471001661,10.0
23.5,G1,13.475147471001657,10.0
23.6,G1,13.575147471001651,10.0
23.7,G1,13.675147471001658,10.0
23.8,G1,13.775147471001656,10.0
23.9,G1,13.875147471001661,10.0
24.0,G1,13.975147471001657,10.0
24.1,G1,14.075147471001651,10.0
24.2,G1,14.175147471001658,10.0
24.3,G1,14.275147471001658,10.0
24.4,G1,14.375147471001661,10.0
24.5,G1,14.475147471001657,10.0
24.6,G1,14.575147471001651,10.0
24.7,G1,14.675147471001658,10.0
24.8,G1,14.775147471001658,10.0
24.9,G1,14.875147471001661,10.0
25.0,G1,14.975147471001657,10.0
10.0,G2,6.587087133568718,12.4
10.1,G2,6.18708713356872,12.4
10.2,G2,5.787087133568722,12.4
10.3,G2,5.387087133568716,12.4
10.4,G2,4.987087133568718,12.4
10.5,G2,4.587087133568718,12.4
10.6,G2,4.219233368241124,12.4
10.7,G2,3.889203397062556,12.4
10.8,G2,3.580112487971643,12.4
10.9,G2,3.294990453972991,12.4
11.0,G2,3.0313540903366283,12.4
11.1,G2,2.787466801435149,12.4
11.2,G2,2.5816278168111912,12.4
11.3,G2,2.3883553541176585,12.4
11.4,G2,2.200476566238871,12.4
11.5,G2,2.0126601041355547,12.4
11.6,G2,1.8543915609724766,12.4
11.7,G2,1.6968158033967196,12.4
11.8,G2,1.545052467176503,12.4
11.9,G2,1.4026282247522608,12.4
12.0,G2,1.260203982328019,12.4
12.1,G2,1.1523941276707084,12.4
12.2,G2,1.085727461004042,12.4
12.3,G2,1.0264580999294195,12.4
12.4,G2,1.015971867867861,12.4
12.5,G2,1.0372319595980788,12.4
12.6,G2,1.0740545393961844,12.4
12.7,G2,1.128599993941639,12.4
12.8,G2,1.1831454484870942,12.4
12.9,G2,1.2598302517951798,12.4
13.0,G2,1.3532282166078204,12.4
13.1,G2,1.45322821660782,12.4
13.2,G2,1.5532282166078195,12.4
13.3,G2,1.653228216607821,12.4
13.4,G2,1.7532282166078206,12.4
13.5,G2,1.8532282166078204,12.4
13.6,G2,1.95322821660782,12.4
13.7,G2,2.0532282166078195,12.4
13.8,G2,2.153228216607821,12.4
13.9,G2,2.2532282166078206,12.4
14.0,G2,2.3532282166078202,12.4
14.1,G2,2.4532282166078194,12.4
14.2,G2,2.5532282166078195,12.4
14.3,G2,2.653228216607821,12.4
14.4,G2,2.7532282166078206,12.4
14.5,G2,2.8532282166078202,12.4
14.6,G2,2.9532282166078194,12.4
14.7,G2,3.0532282166078195,12.4
14.8,G2,3.153228216607821,12.4
14.9,G2,3.2532282166078206,12.4
15.0,G2,3.3532282166078202,12.4
15.1,G2,3.4532282166078194,12.4
15.2,G2,3.5532282166078195,12.4
15.3,G2,3.653228216607821,12.4
15.4,G2,3.7532282166078197,12.4
15.5,G2,3.85322821660782,12.4
15.6,G2,3.9532282166078194,12.4
15.7,G2,4.053228216607819,12.4
15.8,G2,4.15322821660782,12.4
15.9,G2,4.25322821660782,12.4
16.0,G2,4.353228216607819,12.4
16.1,G2,4.453228216607821,12.4
16.2,G2,4.553228216607819,12.4
16.3,G2,4.65322821660782,12.4
16.4,G2,4.753228216607818,12.4
16.5,G2,4.853228216607819,12.4
16.6,G2,4.953228216607821,12.4
16.7,G2,5.053228216607819,12.4
16.8,G2,5.15322821660782,12.4
16.9,G2,5.253228216607818,12.4
17.0,G2,5.353228216607819,12.4
17.1,G2,5.453228216607821,12.4
17.2,G2,5.5532282166078195,12.4
17.3,G2,5.653228216607821,12.4
17.4,G2,5.753228216607818,12.4
17.5,G2,5.853228216607819,12.4
17.6,G2,5.953228216607821,12.4
17.7,G2,6.0532282166078195,12.4
17.8,G2,6.153228216607821,12.4
17.9,G2,6.253228216607818,12.4
18.0,G2,6.353228216607819,12.4
18.1,G2,6.453228216607821,12.4
18.2,G2,6.5532282166078195,12.4
18.3,G2,6.653228216607821,12.4
18.4,G2,6.753228216607818,12.4
18.5,G2,6.853228216607819,12.4
18.6,G2,6.953228216607821,12.4
18.7,G2,7.0532282166078195,12.4
18.8,G2,7.153228216607821,12.4
18.9,G2,7.253228216607818,12.4
19.0,G2,7.353228216607819,12.4
19.1,G2,7.453228216607821,12.4
19.2,G2,7.5532282166078195,12.4
19.3,G2,7.653228216607821,12.4
19.4,G2,7.753228216607818,12.4
19.5,G2,7.853228216607819,12.4
19.6,G2,7.953228216607822,12.4
19.7,G2,8.05322821660782,12.4
19.8,G2,8.153228216607822,12.4
19.9,G2,8.25322821660782,12.4
20.0,G2,8.353228216607821,12.4
20.1,G2,8.453228216607823,12.4
20.2,G2,8.55322821660782,12.4
20.3,G2,8.653228216607822,12.4
20.4,G2,8.75322821660782,12.4
20.5,G2,8.853228216607821,12.4
20.6,G2,8.953228216607823,12.4
20.7,G2,9.05322821660782,12.4
20.8,G2,9.153228216607822,12.4
20.9,G2,9.25322821660782,12.4
21.0,G2,9.353228216607821,12.4
21.1,G2,9.453228216607823,12.4
21.2,G2,9.55322821660782,12.4
21.3,G2,9.653228216607822,12.4
21.4,G2,9.75322821660782,12.4
21.5,G2,9.853228216607821,12.4
21.6,G2,9.953228216607823,12.4
21.7,G2,10.05322821660782,12.4
21.8,G2,10.153228216607822,12.4
21.9,G2,10.25322821660782,12.4
22.0,G2,10.353228216607821,12.4
22.1,G2,10.453228216607823,12.4
22.2,G2,10.55322821660782,12.4
22.3,G2,10.653228216607822,12.4
22.4,G2,10.75322821660782,12.4
22.5,G2,10.853228216607821,12.4
22.6,G2,10.953228216607823,12.4
22.7,G2,11.05322821660782,12.4
22.8,G2,11.153228216607822,12.4
22.9,G2,11.25322821660782,12.4
23.0,G2,11.353228216607821,12.4
23.1,G2,11.453228216607823,12.4
23.2,G2,11.55322821660782,12.4
23.3,G2,11.653228216607822,12.4
23.4,G2,11.75322821660782,12.4
23.5,G2,11.853228216607821,12.4
23.6,G2,11.953228216607823,12.4
23.7,G2,12.05322821660782,12.4
23.8,G2,12.153228216607822,12.4
23.9,G2,12.25322821660782,12.4
24.0,G2,12.353228216607821,12.4
24.1,G2,12.453228216607823,12.4
24.2,G2,12.55322821660782,12.4
24.3,G2,12.653228216607822,12.4
24.4,G2,12.75322821660782,12.4
24.5,G2,12.853228216607821,12.4
24.6,G2,12.953228216607823,12.4
24.7,G2,13.05322821660782,12.4
24.8,G2,13.153228216607822,12.4
24.9,G2,13.25322821660782,12.4
25.0,G2,13.353228216607821,12.4
10.0,G3,19.62280750517582,16.1
10.1,G3,19.222807505175822,16.1
10.2,G3,18.822807505175824,16.1
10.3,G3,18.422807505175818,16.1
10.4,G3,18.022807505175816,16.1
10.5,G3,17.62280750517582,16.1
10.6,G3,17.222807505175822,16.1
10.7,G3,16.822807505175824,16.1
10.8,G3,16.422807505175818,16.1
10.9,G3,16.02280750517582,16.1
11.0,G3,15.622807505175821,16.1
11.1,G3,15.22280750517582,16.1
11.2,G3,14.822807505175822,16.1
11.3,G3,14.422807505175818,16.1
11.4,G3,14.02280750517582,16.1
11.5,G3,13.622807505175821,16.1
11.6,G3,13.22280750517582,16.1
11.7,G3,12.822807505175822,16.1
11.8,G3,12.422807505175818,16.1
11.9,G3,12.02280750517582,16.1
12.0,G3,11.622807505175821,16.1
12.1,G3,11.22280750517582,16.1
12.2,G3,10.822807505175822,16.1
12.3,G3,10.422807505175818,16.1
12.4,G3,10.02280750517582,16.1
12.5,G3,9.622807505175821,16.1
12.6,G3,9.222807505175822,16.1
12.7,G3,8.822807505175822,16.1
12.8,G3,8.422807505175818,16.1
12.9,G3,8.02280750517582,16.1
13.0,G3,7.62280750517582,16.1
13.1,G3,7.233441537026476,16.1
13.2,G3,6.864735625325959,16.1
13.3,G3,6.511280650522314,16.1
13.4,G3,6.16230105868558,16.1
13.5,G3,5.813321466848846,16.1
13.6,G3,5.470873349452423,16.1
13.7,G3,5.142782085138045,16.1
13.8,G3,4.83383095313436,16.1
13.9,G3,4.530194192091628,16.1
14.0,G3,4.242439090050812,16.1
14.1,G3,3.963363544900916,16.1
14.2,G3,3.7063478689456573,16.1
14.3,G3,3.4594090934354496,16.1
14.4,G3,3.221845473149675,16.1
14.5,G3,2.9953148609047786,16.1
14.6,G3,2.7767613764382117,16.1
14.7,G3,2.5824920625270127,16.1
14.8,G3,2.4010254742260457,16.1
14.9,G3,2.2341747781488928,16.1
15.0,G3,2.0826353615237814,16.1
15.1,G3,1.947941483972761,16.1
15.2,G3,1.8221744305118532,16.1
15.3,G3,1.7155018261530308,16.1
15.4,G3,1.6410430591851841,16.1
15.5,G3,1.5721214243824484,16.1
15.6,G3,1.5173862218974068,16.1
15.7,G3,1.4690602369185874,16.1
15.8,G3,1.4262030940614439,16.1
15.9,G3,1.3833459512043011,16.1
16.0,G3,1.3688525055376513,16.1
16.1,G3,1.3799146608483872,16.1
16.2,G3,1.4125843629610437,16.1
16.3,G3,1.4707014627634496,16.1
16.4,G3,1.5298851362328358,16.1
16.5,G3,1.6018266376017505,16.1
16.6,G3,1.6942981237060462,16.1
16.7,G3,1.7942981237060442,16.1
16.8,G3,1.8942981237060454,16.1
16.9,G3,1.9942981237060433,16.1
17.0,G3,2.0942981237060447,16.1
17.1,G3,2.194298123706046,16.1
17.2,G3,2.2942981237060445,16.1
17.3,G3,2.3942981237060454,16.1
17.4,G3,2.4942981237060433,16.1
17.5,G3,2.5942981237060447,16.1
17.6,G3,2.6942981237060466,16.1
17.7,G3,2.7942981237060445,16.1
17.8,G3,2.8942981237060454,16.1
17.9,G3,2.9942981237060433,16.1
18.0,G3,3.0942981237060447,16.1
18.1,G3,3.1942981237060466,16.1
18.2,G3,3.2942981237060445,16.1
18.3,G3,3.3942981237060454,16.1
18.4,G3,3.4942981237060433,16.1
18.5,G3,3.5942981237060447,16.1
18.6,G3,3.6942981237060466,16.1
18.7,G3,3.7942981237060445,16.1
18.8,G3,3.8942981237060454,16.1
18.9,G3,3.9942981237060433,16.1
19.0,G3,4.094298123706045,16.1
19.1,G3,4.194298123706046,16.1
19.2,G3,4.294298123706044,16.1
19.3,G3,4.3942981237060454,16.1
19.4,G3,4.494298123706043,16.1
19.5,G3,4.594298123706045,16.1
19.6,G3,4.694298123706046,16.1
19.7,G3,4.794298123706044,16.1
19.8,G3,4.8942981237060454,16.1
19.9,G3,4.994298123706043,16.1
20.0,G3,5.094298123706045,16.1
20.1,G3,5.194298123706046,16.1
20.2,G3,5.294298123706044,16.1
20.3,G3,5.394298123706046,16.1
20.4,G3,5.494298123706044,16.1
20.5,G3,5.594298123706046,16.1
20.6,G3,5.694298123706047,16.1
20.7,G3,5.794298123706043,16.1
20.8,G3,5.894298123706045,16.1
20.9,G3,5.994298123706044,16.1
21.0,G3,6.094298123706046,16.1
21.1,G3,6.194298123706047,16.1
21.2,G3,6.294298123706043,16.1
21.3,G3,6.394298123706045,16.1
21.4,G3,6.494298123706044,16.1
21.5,G3,6.594298123706046,16.1
21.6,G3,6.694298123706047,16.1
21.7,G3,6.794298123706044,16.1
21.8,G3,6.894298123706045,16.1
21.9,G3,6.994298123706044,16.1
22.0,G3,7.094298123706046,16.1
22.1,G3,7.194298123706047,16.1
22.2,G3,7.294298123706044,16.1
22.3,G3,7.394298123706045,16.1
22.4,G3,7.494298123706044,16.1
22.5,G3,7.594298123706046,16.1
22.6,G3,7.694298123706047,16.1
22.7,G3,7.794298123706044,16.1
22.8,G3,7.894298123706045,16.1
22.9,G3,7.994298123706044,16.1
23.0,G3,8.094298123706045,16.1
23.1,G3,8.194298123706048,16.1
23.2,G3,8.294298123706044,16.1
23.3,G3,8.394298123706045,16.1
23.4,G3,8.494298123706045,16.1
23.5,G3,8.594298123706045,16.1
23.6,G3,8.694298123706048,16.1
23.7,G3,8.794298123706044,16.1
23.8,G3,8.894298123706045,16.1
23.9,G3,8.994298123706045,16.1
24.0,G3,9.094298123706045,16.1
24.1,G3,9.194298123706048,16.1
24.2,G3,9.294298123706044,16.1
24.3,G3,9.394298123706045,16.1
24.4,G3,9.494298123706045,16.1
24.5,G3,9.594298123706045,16.1
24.6,G3,9.694298123706048,16.1
24.7,G3,9.794298123706044,16.1
24.8,G3,9.894298123706045,16.1
24.9,G3,9.994298123706045,16.1
25.0,G3,10.094298123706045,16.1
10.0,G4,33.48699044852754,19.3
10.1,G4,33.086990448527544,19.3
10.2,G4,32.68699044852754,19.3
10.3,G4,32.28699044852755,19.3
10.4,G4,31.88699044852754,19.3
10.5,G4,31.486990448527543,19.3
10.6,G4,31.086990448527544,19.3
10.7,G4,30.686990448527542,19.3
10.8,G4,30.286990448527536,19.3
10.9,G4,29.88699044852754,19.3
11.0,G4,29.486990448527543,19.3
11.1,G4,29.08699044852754,19.3
11.2,G4,28.686990448527546,19.3
11.3,G4,28.286990448527536,19.3
11.4,G4,27.88699044852754,19.3
11.5,G4,27.486990448527543,19.3
11.6,G4,27.08699044852754,19.3
11.7,G4,26.686990448527546,19.3
11.8,G4,26.286990448527536,19.3
11.9,G4,25.88699044852754,19.3
12.0,G4,25.486990448527543,19.3
12.1,G4,25.08699044852754,19.3
12.2,G4,24.686990448527546,19.3
12.3,G4,24.286990448527536,19.3
12.4,G4,23.88699044852754,19.3
12.5,G4,23.486990448527543,19.3
12.6,G4,23.08699044852754,19.3
12.7,G4,22.686990448527546,19.3
12.8,G4,22.286990448527536,19.3
12.9,G4,21.88699044852754,19.3
13.0,G4,21.486990448527543,19.3
13.1,G4,21.08699044852754,19.3
13.2,G4,20.686990448527546,19.3
13.3,G4,20.286990448527536,19.3
13.4,G4,19.88699044852754,19.3
13.5,G4,19.486990448527543,19.3
